                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.1011,                 1.4426,                 1.3727,                0.45526,                0.50897,                 0.4456,                0.29018,                 1.2504,                 1.6974,                 1.5229,               0.006425,               0.006425,               0.006425
                     67,                 1.0961,                 1.4299,                 1.3692,                0.45426,                0.50839,                0.44497,                0.28981,                 1.2513,                 1.7004,                 1.5235,                0.00637,                0.00637,                0.00637
                     68,                 1.0913,                 1.4195,                 1.3656,                 0.4522,                0.50747,                0.44443,                0.28954,                 1.2521,                 1.7029,                 1.5239,               0.006315,               0.006315,               0.006315
                     69,                 1.0937,                 1.4157,                 1.3615,                0.45264,                0.50753,                0.44361,                0.28893,                 1.2524,                 1.7059,                 1.5237,                0.00626,                0.00626,                0.00626
                     70,                 1.0883,                 1.4168,                 1.3611,                0.45288,                0.50695,                0.44243,                 0.2882,                 1.2531,                 1.7086,                 1.5239,               0.006205,               0.006205,               0.006205
                     71,                 1.0856,                 1.4007,                 1.3578,                0.44952,                0.50839,                0.44143,                0.28781,                 1.2542,                 1.7121,                 1.5248,                0.00615,                0.00615,                0.00615
                     72,                 1.0826,                 1.3913,                 1.3599,                0.44668,                0.51131,                0.44074,                0.28728,                  1.256,                 1.7154,                 1.5261,               0.006095,               0.006095,               0.006095
                     73,                 1.0862,                 1.3909,                 1.3563,                0.44413,                0.51385,                0.44019,                0.28707,                 1.2571,                 1.7183,                  1.527,                0.00604,                0.00604,                0.00604
                     74,                 1.0767,                 1.3757,                 1.3531,                0.44265,                0.51404,                0.43888,                0.28587,                 1.2576,                 1.7221,                 1.5274,               0.005985,               0.005985,               0.005985
                     75,                 1.0798,                 1.3701,                 1.3519,                0.44231,                0.51415,                0.43805,                0.28518,                 1.2587,                 1.7258,                 1.5279,                0.00593,                0.00593,                0.00593
                     76,                 1.0754,                 1.3706,                 1.3472,                0.44335,                0.51482,                0.43691,                0.28453,                 1.2595,                 1.7289,                 1.5285,               0.005875,               0.005875,               0.005875
                     77,                  1.073,                 1.3667,                 1.3492,                0.43941,                0.51704,                0.43604,                0.28411,                 1.2604,                 1.7327,                 1.5291,                0.00582,                0.00582,                0.00582
                     78,                 1.0675,                 1.3564,                 1.3436,                0.43764,                0.51829,                0.43512,                0.28377,                 1.2613,                 1.7355,                 1.5297,               0.005765,               0.005765,               0.005765
                     79,                 1.0705,                 1.3466,                 1.3435,                0.43654,                0.51927,                0.43433,                0.28349,                  1.262,                 1.7396,                 1.5301,                0.00571,                0.00571,                0.00571
                     80,                 1.0642,                 1.3368,                 1.3401,                0.43821,                0.51551,                0.43379,                0.28336,                 1.2632,                 1.7443,                 1.5311,               0.005655,               0.005655,               0.005655
                     81,                 1.0639,                 1.3451,                 1.3445,                0.43692,                0.51479,                0.43282,                0.28277,                 1.2641,                 1.7479,                 1.5317,                 0.0056,                 0.0056,                 0.0056
                     82,                 1.0568,                 1.3249,                 1.3378,                0.43668,                0.51578,                0.43189,                0.28192,                 1.2654,                  1.753,                 1.5327,               0.005545,               0.005545,               0.005545
                     83,                 1.0594,                 1.3221,                 1.3337,                 0.4355,                0.51677,                0.43081,                0.28115,                 1.2665,                 1.7583,                 1.5333,                0.00549,                0.00549,                0.00549
                     84,                 1.0524,                 1.3188,                  1.334,                0.43557,                0.51679,                0.42941,                 0.2801,                 1.2675,                 1.7626,                 1.5341,               0.005435,               0.005435,               0.005435
                     85,                   1.05,                 1.3127,                 1.3267,                0.43463,                0.51894,                0.42858,                0.27955,                 1.2688,                 1.7674,                 1.5348,                0.00538,                0.00538,                0.00538
                     86,                 1.0437,                 1.2966,                 1.3262,                0.43281,                  0.521,                0.42739,                0.27886,                 1.2702,                 1.7729,                 1.5359,               0.005325,               0.005325,               0.005325
                     87,                 1.0351,                 1.2949,                 1.3192,                0.43177,                0.52131,                0.42652,                0.27814,                 1.2713,                 1.7784,                 1.5366,                0.00527,                0.00527,                0.00527
                     88,                 1.0452,                 1.2857,                  1.321,                0.43229,                0.51714,                0.42549,                0.27735,                 1.2726,                  1.783,                 1.5371,               0.005215,               0.005215,               0.005215
